date,tweet,word_count,tokens,tokens_count
2019-08-14,Whoa it’s Why school officer AR-15. Why. Thank making entire morning lol Omg I would see this!!!!!!!!! I’m predictable lol And well! ❤️❤️😊 This adorable gave seratonin. Omg I would think kidnapped AND tortured! He’s pretty That’s right say it. Like good thing yes. I eat sauce come LIKE GOD INTENDED.,51,"['Whoa', 'it’s', 'Why', 'school', 'officer', 'AR-15.', 'Why.', 'Thank', 'making', 'entire', 'morning', 'lol', 'Omg', 'I', 'would', 'see', 'this!!!!!!!!!', 'I’m', 'predictable', 'lol', 'And', 'well!', '❤️❤️😊', 'This', 'adorable', 'gave', 'seratonin.', 'Omg', 'I', 'would', 'think', 'kidnapped', 'AND', 'tortured!', 'He’s', 'pretty', 'That’s', 'right', 'say', 'it.', 'Like', 'good', 'thing', 'yes.', 'I', 'eat', 'sauce', 'come', 'LIKE', 'GOD', 'INTENDED.']",51
2019-08-15,..... feeling called lol,4,"['.....', 'feeling', 'called', 'lol']",4
2019-08-17,@odafins u Crossover Stranger Things kid Typewriter kid solve paranormal mystery. @netflix let’s get bread.,15,"['@odafins', 'u', 'Crossover', 'Stranger', 'Things', 'kid', 'Typewriter', 'kid', 'solve', 'paranormal', 'mystery.', '@netflix', 'let’s', 'get', 'bread.']",15
2019-08-18,Wait like. What wrong meat. 🔥🔥🔥,6,"['Wait', 'like.', 'What', 'wrong', 'meat.', '🔥🔥🔥']",6
2019-08-19,I want badly move Arizona.,5,"['I', 'want', 'badly', 'move', 'Arizona.']",5
2019-08-20,A Head Full Ghosts!,4,"['A', 'Head', 'Full', 'Ghosts!']",4
2019-08-23,Gad DAMN I’m almost again!!! Those braid 😍😍😍 Dude I know. I aged like grape 😂😂😂 BABYFACE,17,"['Gad', 'DAMN', 'I’m', 'almost', 'again!!!', 'Those', 'braid', '😍😍😍', 'Dude', 'I', 'know.', 'I', 'aged', 'like', 'grape', '😂😂😂', 'BABYFACE']",17
2019-08-24,"No, you’re growing person lol I imagine tbh. I hate You deserve moon stars!😌🌘🌟 This damn cute. Don’t let hear you!",21,"['No,', 'you’re', 'growing', 'person', 'lol', 'I', 'imagine', 'tbh.', 'I', 'hate', 'You', 'deserve', 'moon', 'stars!😌🌘🌟', 'This', 'damn', 'cute.', 'Don’t', 'let', 'hear', 'you!']",21
2019-08-27,Ugh boy bye SOOOO CUUUUUTE!!!!!! 💖💖💖💖💗💗💗💗🙌🏻 Omg I can’t wait see He miss too! He’s super mad bc I’ve working late. 😩,22,"['Ugh', 'boy', 'bye', 'SOOOO', 'CUUUUUTE!!!!!!', '💖💖💖💖💗💗💗💗🙌🏻', 'Omg', 'I', 'can’t', 'wait', 'see', 'He', 'miss', 'too!', 'He’s', 'super', 'mad', 'bc', 'I’ve', 'working', 'late.', '😩']",22
2019-08-28,I want work haunted bookstore.,5,"['I', 'want', 'work', 'haunted', 'bookstore.']",5
2019-08-29,"Oh yes @odafins seen Lisa Frank Casetify phone cases?!!!!! The slow degradation mind severe depression, anxiety, medication, etc.",18,"['Oh', 'yes', '@odafins', 'seen', 'Lisa', 'Frank', 'Casetify', 'phone', 'cases?!!!!!', 'The', 'slow', 'degradation', 'mind', 'severe', 'depression,', 'anxiety,', 'medication,', 'etc.']",18
2019-08-31,"😍😍😍😍 What cutie!!!!!!! The first! The yellow really pops. Yes worth it. It does!! I make playlist much, I thought I could give shot. I’m tired limited library. Cupcake Rhea!!!!! Does anyone else use Apple Music feel worth it??",39,"['😍😍😍😍', 'What', 'cutie!!!!!!!', 'The', 'first!', 'The', 'yellow', 'really', 'pops.', 'Yes', 'worth', 'it.', 'It', 'does!!', 'I', 'make', 'playlist', 'much,', 'I', 'thought', 'I', 'could', 'give', 'shot.', 'I’m', 'tired', 'limited', 'library.', 'Cupcake', 'Rhea!!!!!', 'Does', 'anyone', 'else', 'use', 'Apple', 'Music', 'feel', 'worth', 'it??']",39
2019-09-02,Haha reallllll,2,"['Haha', 'reallllll']",2
2019-09-03,6.... lol WOWWW. Just wow. Wow.,6,"['6....', 'lol', 'WOWWW.', 'Just', 'wow.', 'Wow.']",6
2019-09-07,Me unless there’s good mac n cheese Hell yes girl🌟🌟🌟,10,"['Me', 'unless', 'there’s', 'good', 'mac', 'n', 'cheese', 'Hell', 'yes', 'girl🌟🌟🌟']",10
2019-09-08,"Is flapjack reference? Honestly it’s creepy terrifying. Like it’s thinker, VERY good. Ya know PGH cool events.......",17,"['Is', 'flapjack', 'reference?', 'Honestly', 'it’s', 'creepy', 'terrifying.', 'Like', 'it’s', 'thinker,', 'VERY', 'good.', 'Ya', 'know', 'PGH', 'cool', 'events.......']",17
2019-09-11,Twas simpler time.,3,"['Twas', 'simpler', 'time.']",3
2019-09-12,Omg mum’s Poirot gal too!! I’ve seen many.,8,"['Omg', 'mum’s', 'Poirot', 'gal', 'too!!', 'I’ve', 'seen', 'many.']",8
2019-09-15,I love series. It distorts@your reality man I legit upset moment like ahhhhhhHHHHHHHHH HOW DO?!,15,"['I', 'love', 'series.', 'It', 'distorts@your', 'reality', 'man', 'I', 'legit', 'upset', 'moment', 'like', 'ahhhhhhHHHHHHHHH', 'HOW', 'DO?!']",15
2019-09-16,This always look,3,"['This', 'always', 'look']",3
2019-09-18,It’s comfy!! I got BoxLunch.,5,"['It’s', 'comfy!!', 'I', 'got', 'BoxLunch.']",5
2019-09-19,The Jehovah’s Witnesses founded Pittsburgh. My city..... failed me.,9,"['The', 'Jehovah’s', 'Witnesses', 'founded', 'Pittsburgh.', 'My', 'city.....', 'failed', 'me.']",9
2019-09-20,Ughhhhhhhhhhh worst I use this!!! I love much.,8,"['Ughhhhhhhhhhh', 'worst', 'I', 'use', 'this!!!', 'I', 'love', 'much.']",8
2019-09-21,Brainless,1,['Brainless'],1
2019-09-23,"A Simple Favor, I like call “Blake Lively Please Step Me”",11,"['A', 'Simple', 'Favor,', 'I', 'like', 'call', '“Blake', 'Lively', 'Please', 'Step', 'Me”']",11
2019-09-25,Debbie said gay fucking rights!!!!,5,"['Debbie', 'said', 'gay', 'fucking', 'rights!!!!']",5
2019-09-28,Word. You’re goddess Ma’am....,4,"['Word.', 'You’re', 'goddess', 'Ma’am....']",4
2019-09-29,He sweetest lil bean!!!! Thanks I hate it! Haha I swear god quote Hulu movie “Pure.” 🤢🤮 What movie this?,20,"['He', 'sweetest', 'lil', 'bean!!!!', 'Thanks', 'I', 'hate', 'it!', 'Haha', 'I', 'swear', 'god', 'quote', 'Hulu', 'movie', '“Pure.”', '🤢🤮', 'What', 'movie', 'this?']",20
2019-09-30,"Thank god, I thought something wrong I definitely didn’t see end coming. It really locked theme.",16,"['Thank', 'god,', 'I', 'thought', 'something', 'wrong', 'I', 'definitely', 'didn’t', 'see', 'end', 'coming.', 'It', 'really', 'locked', 'theme.']",16
